"country_region","population","total_cases","new_cases","total_deaths","total_recovered","total_tests","continent","confirmed","deaths","recovered","active","new_cases_cwl","confirmed_final","deaths_final","recovered_final","cfr","incidence_per_100k","deaths_per_100k","recovery_pct","positivity","ts_sum_confirmed","pct_diff_wm_cwl","pct_diff_wm_ts"
"USA",331198130,5032179,NA,162804,2576668,63139605,"North America",NA,NA,NA,NA,NA,5032179,162804,2576668,0.0323525852319641,NA,49.1560746432958,0.512038224395436,NA,NA,0,NA
"Brazil",212710692,2917562,NA,98644,2047660,13206188,"South America",2442375,87618,1846641,508116,23284,2442375,87618,1846641,0.0358740979579303,NA,41.1911593047706,0.756084139413481,NA,2442375,19.4559394032448,19.4559394032448
"India",1381344997,2025409,NA,41638,1377384,22149351,"Asia",1480073,33408,951166,495499,44457,1480073,33408,951166,0.0225718596312479,NA,2.4185123971604,0.642648031549795,NA,1480073,36.8452096619559,36.8452096619559
"Russia",145940924,871894,NA,14606,676357,29716907,"Europe",816680,13334,602249,201097,5607,816680,13334,602249,0.016327080374198,NA,9.13657364537448,0.73743571533526,NA,816680,6.76078757897831,6.76078757897831
"South Africa",59381566,538184,NA,9604,387316,3149807,"Africa",452529,7067,274925,170537,7096,452529,7067,274925,0.0156166787100937,NA,11.9009997142884,0.607530125141151,NA,452529,18.9280686983597,18.9280686983597
"Mexico",129066160,462690,6590,50517,308848,1056915,"North America",395489,44022,303810,47657,4973,395489,44022,303810,0.111310301930016,5.10590847360764,34.108088440843,0.768188242909411,NA,395489,16.9918758802394,16.9918758802394
"Peru",33016319,455409,NA,20424,310337,2493429,"South America",389717,18418,272547,98752,13756,389717,18418,272547,0.0472599347731816,NA,55.7845349143858,0.699345935640478,NA,389717,16.8563342117485,16.8563342117485
"Chile",19132514,366671,NA,9889,340168,1760615,"South America",347923,9187,319954,18782,2133,347923,9187,319954,0.0264052678322502,NA,48.0177356723743,0.919611523239337,NA,347923,5.38854861564197,5.38854861564197
"Colombia",50936262,357710,NA,11939,192355,1801835,"South America",257101,8777,131161,117163,16306,257101,8777,131161,0.0341383347400438,NA,17.2313390409371,0.510153597224437,NA,257101,39.1320920572071,39.1320920572071
"Spain",46756648,354530,NA,28500,NA,7064329,"Europe",272421,28432,150376,93613,0,272421,28432,150376,0.104367871786683,NA,60.8084651406149,0.551998561050727,NA,272421,30.1404810936015,30.1404810936015
"Iran",84097623,320117,NA,17976,277463,2612763,"Asia",293606,15912,255144,22550,2434,293606,15912,255144,0.0541950777572665,NA,18.920867715845,0.86900131468703,NA,293606,9.02944762709208,9.02944762709208
"UK",67922029,308134,NA,46413,NA,17515234,"Europe",NA,NA,NA,NA,NA,308134,46413,NA,0.15062602633919,NA,68.3327643230446,NA,NA,NA,0,NA
"Saudi Arabia",34865919,284226,NA,3055,247089,3635705,"Asia",268934,2760,222936,43238,1993,268934,2760,222936,0.0102627410442711,NA,7.9160397292267,0.828961752697688,NA,268934,5.686153480036,5.686153480036
"Pakistan",221295851,281863,NA,6035,256058,2058872,"Asia",274289,5842,241026,27421,1176,274289,5842,241026,0.021298703192618,NA,2.63990489365298,0.878730098545695,NA,274289,2.76132108834113,2.76132108834113
"Bangladesh",164851401,249651,NA,3306,143824,1225124,"Asia",226225,2965,125683,97577,2772,226225,2965,125683,0.0131064205989612,NA,1.79858950667941,0.555566360923859,NA,226225,10.3551773676649,10.3551773676649
"Italy",60452568,249204,NA,35187,201323,7099713,"Europe",246286,35112,198593,12581,168,246286,35112,198593,0.142565959900279,NA,58.0818998458428,0.806351152724881,NA,246286,1.18480140974315,1.18480140974315
"Turkey",84428331,237265,NA,5798,220546,5081802,"Asia",227019,5630,210469,10920,919,227019,5630,210469,0.0247996863698633,NA,6.66837770368811,0.927098612891432,NA,227019,4.51327862425612,4.51327862425612
"Argentina",45236884,228195,NA,4251,99852,794544,"South America",167416,3059,72575,91782,4890,167416,3059,72575,0.0182718497634635,NA,6.76218105561824,0.433500979595738,NA,167416,36.3041764228031,36.3041764228031
"Germany",83811260,215210,NA,9252,196200,8586648,"Europe",207112,9125,190314,7673,445,207112,9125,190314,0.044058287303488,NA,10.887558545236,0.918894124917919,NA,207112,3.90996175982077,3.90996175982077
"France",65288306,195633,NA,30312,82460,3992206,"Europe",220352,30212,81212,108928,2551,220352,30212,81212,0.137107900087133,NA,46.2747494168404,0.368555765320941,NA,208665,-11.2179603543421,-6.2454172956653
"Iraq",40306025,140603,NA,5161,101025,1092741,"Asia",112585,4458,77144,30983,2553,112585,4458,77144,0.0395967491228849,NA,11.0603811713013,0.685206732690856,NA,112585,24.886086068304,24.886086068304
"Philippines",109722719,119460,NA,2150,66837,1669996,"Asia",82040,1945,26446,53649,1592,82040,1945,26446,0.0237079473427596,NA,1.77265020200602,0.322354948805461,NA,82040,45.6118966357874,45.6118966357874
"Indonesia",273808365,118753,NA,5521,75645,1633156,"Asia",100303,4838,58173,37292,1525,100303,4838,58173,0.0482338514301666,NA,1.76692921708217,0.579972682771203,NA,100303,18.394265375911,18.394265375911
"Canada",37775022,118561,NA,8966,103106,4319172,"North America",116458,8944,0,107514,682,116458,8944,0,0.0768002198217383,NA,23.6770212867116,0,NA,58728,1.80580123306255,101.88155564637
"Qatar",2807805,112092,NA,178,108831,511000,"Asia",109597,165,106328,3104,292,109597,165,106328,0.00150551566192505,NA,5.87647646471176,0.970172541219194,NA,109597,2.27652216757759,2.27652216757759
